created_at.x,text,Sentiment
2018-08,RT @kkuizon: The latest red tide report from @MyFWC  shows respiratory irritation was felt in Pinellas and Pass-a-Grille @FOX13News #RedTide #Pinellas. ,-0.5106
2018-08,"Latest update from @MyFWC on the #redtide bloom.  No major changes, only subtle concentration level changes. SE winds could move it a little further north this weekend. Minor respiratory irritation at Pass A Grille yesterday @10NewsWTSP #fl #flwx . https   twitter com BobbyDWeather status 1029865540972670977 photo 1",-0.6705
2018-08,"RT @BobbyDWeather: Latest update from @MyFWC on the #redtide bloom.  No major changes, only subtle concentration level changes. SE winds could move it a little further north this weekend. Minor respiratory irritation at Pass A Grille yesterday @10NewsWTSP #fl #flwx . https   twitter com BobbyDWeather status 1029865540972670977 photo 1",-0.6705
2018-08,"Residents of #Tampa #CapeCoral #FtMeyers #StPete #PtCharlotte #Sarasota #MarcoIsland

PLEASE NOTE THESE HIGH LEVELS OF #RedTide can affect not only animals but also human health. #GCL #CEDRdigital  

. https   twitter com GWaldenWFTV status 1029832644052377600",0.2539
2018-08,"Fish kills and respiratory irritation attributed to red tide have been reported in Pinellas County, including one report on Aug. 14 from Pass-a-Grille. . http   www tbnweekly com pinellas_county fwc reports signs of red tide in south pinellas article_43357f86 a0ce 11e8 a44a a7049dceba7e html utm_campaign blox utm_source facebook utm_medium social",-0.7783
2018-08,Red tide sends waves of tourists to St. Pete Beach as Sarasota area feels impact . https   www bizjournals com tampabay news 2018 08 15 red tide sends waves of tourists to st pete beach html,0.0
2018-08,St. Pete area businesses see increase in tourism from red tide  . https   on wtsp com 2MvM8xG. https   twitter com 10NewsWTSP status 1029949700173193221 photo 1,0.3182
2018-08,RT @TBBJnewsroom: Red tide sends waves of tourists to St. Pete Beach as Sarasota area feels impact . https   www bizjournals com tampabay news 2018 08 15 red tide sends waves of tourists to st pete beach html,0.0
2018-08,RED TIDE UPDATE: Overall there have only been minor changes to conditions over the last 5 days. Of note respiratory irritation was reported in Pass-A-Grille (southern Pinellas Co.) due to a recent southerly wind blowing the airborne toxins north. #RedTide #TampaBay #UpWith . https   twitter com grant_gilmore status 1030023015331966981 photo 1,-0.5106
2018-08,RT @grant_gilmore: RED TIDE UPDATE: Overall there have only been minor changes to conditions over the last 5 days. Of note respiratory irritation was reported in Pass-A-Grille (southern Pinellas Co.) due to a recent southerly wind blowing the airborne toxins north. #RedTide #TampaBay #UpWith . https   twitter com grant_gilmore status 1030023015331966981 photo 1,-0.5106
2018-08,RT @grant_gilmore: RED TIDE UPDATE: Overall there have only been minor changes to conditions over the last 5 days. Of note respiratory irritation was reported in Pass-A-Grille (southern Pinellas Co.) due to a recent southerly wind blowing the airborne toxins north. #RedTide #TampaBay #UpWith . https   twitter com grant_gilmore status 1030023015331966981 photo 1,-0.5106
2018-08,RT @grant_gilmore: RED TIDE UPDATE: Overall there have only been minor changes to conditions over the last 5 days. Of note respiratory irritation was reported in Pass-A-Grille (southern Pinellas Co.) due to a recent southerly wind blowing the airborne toxins north. #RedTide #TampaBay #UpWith . https   twitter com grant_gilmore status 1030023015331966981 photo 1,-0.5106
2018-08,RT @grant_gilmore: RED TIDE UPDATE: Overall there have only been minor changes to conditions over the last 5 days. Of note respiratory irritation was reported in Pass-A-Grille (southern Pinellas Co.) due to a recent southerly wind blowing the airborne toxins north. #RedTide #TampaBay #UpWith . https   twitter com grant_gilmore status 1030023015331966981 photo 1,-0.5106
2018-08,"#RedTide and #Manatees: The #Florida #Marine #Mammal Pathology Laboratory located in St. Petersburg said, “the bloom is suspected of killing 92 manatees, including 12 in this past week.” #toxicbloom . https   twitter com KobeeManatee status 1030061744272695298 photo 1",-0.743
2018-08,@KobeeManatee Manatees don't write. I'd like to communicate with you over a profile with your face and name.. ,-0.2755
2018-08,"RT @KobeeManatee: #RedTide and #Manatees: The #Florida #Marine #Mammal Pathology Laboratory located in St. Petersburg said, “the bloom is suspected of killing 92 manatees, including 12 in this past week.” #toxicbloom . https   twitter com KobeeManatee status 1030061744272695298 photo 1",-0.743
2018-08,"@northernscums In 1988, the first time we took the kids to Disney, we then spent 10 days in St Petersburg, we weren't allowed on the beach that Easter due to red tide, is this the same on-going problem?. ",0.0
2018-08,Red tide sends waves of tourists to St. Pete Beach as Sarasota area feels impact  via @tbbjnewsroom. https   www bizjournals com tampabay news 2018 08 15 red tide sends waves of tourists to st pete beach html,0.0
2018-08,"@Bouchercon  St. Pete, FL is one of my favorite places to go on vacation so really stoked that #bouchercon2018 gives me an excuse to come back again. Stem the red tide, let's party on the beach.. ",0.7184
2018-08,#RedTide sends waves of tourists to St. Pete Beach as Sarasota area feels impact  via @TBBJVeronica (📸: Aerial Innovations) . https   www bizjournals com tampabay news 2018 08 15 red tide sends waves of tourists to st pete beach html. https   twitter com tbbjpam status 1030085503654260737 photo 1,0.0
