word,frequency,normalized_frequency
foultampabay,2,0.2971768202080238
gulfbeaches,2,0.2971768202080238
20yrsfloridagop,2,0.2971768202080238
boycottflorida,3,0.44576523031203563
auditflvotes,1,0.1485884101040119
fluoride,3,0.44576523031203563
toxicflorida,1,0.1485884101040119
flaforresponsiblehealthpolicy,1,0.1485884101040119
boycottfloridatourism,2,0.2971768202080238
helpflorida,1,0.1485884101040119
desantishurtsflorida,1,0.1485884101040119
flipfloridabluein2022,1,0.1485884101040119
sugar,2,0.2971768202080238
floridawaters,1,0.1485884101040119
surfside,1,0.1485884101040119
nojusticemorestreams,1,0.1485884101040119
killingfloridatourism,1,0.1485884101040119
desantisfailedfloridaagain,3,0.44576523031203563
toxictampabay,2,0.2971768202080238
nationalwaterqualitymonth,1,0.1485884101040119
swflorida,1,0.1485884101040119
tampabayrays,1,0.1485884101040119
sydney,1,0.1485884101040119
sanford,1,0.1485884101040119
dunedin,2,0.2971768202080238
asafloridian,1,0.1485884101040119
tampaparksandrecs,2,0.2971768202080238
noticiastampahoy,1,0.1485884101040119
love,1,0.1485884101040119
worstflagovever,1,0.1485884101040119
manateedeath,1,0.1485884101040119
dinoflagellates,1,0.1485884101040119
crossforflhouse,2,0.2971768202080238
florecimiento,1,0.1485884101040119
fan,1,0.1485884101040119
everythingmanatee,1,0.1485884101040119
savethemanatee,1,0.1485884101040119
scienceisflorida,1,0.1485884101040119
tentampabay,1,0.1485884101040119
portoftampa,1,0.1485884101040119
floridawater,1,0.1485884101040119
floridanatural,1,0.1485884101040119
stem,1,0.1485884101040119
tampabayestuary,8,1.188707280832095
gulfcoat,1,0.1485884101040119
gulfcoastflorida,6,0.8915304606240713
gulfshellfish,1,0.1485884101040119
fishinggulfcoast,1,0.1485884101040119
slutfluff,2,0.2971768202080238
renewableenergy,2,0.2971768202080238
ian,1,0.1485884101040119
miamiherald,3,0.44576523031203563
orlandosentinel,3,0.44576523031203563
tpa,1,0.1485884101040119
dovetampabayforecast,1,0.1485884101040119
10tampabay,1,0.1485884101040119
feedthebay,1,0.1485884101040119
tampaby,1,0.1485884101040119
